OPERADOR;SERVICIO;INDICATIVO;BLOQUE;MODALIDAD;LOCALIDAD
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;264;4950;BASICA;BOCA DEL TIGRE
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;STM;263;4450;MPP;SAN MARTIN (PROV.  MENDOZA)
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;STM;266;4470;MPP;SAN LUIS (PROV. SAN LUIS)
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3832;465;MPP;RECREO (PROV.  CATAMARCA)
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;362;4457;MPP;RESISTENCIA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;362;4477;MPP;RESISTENCIA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3869;498;MPP;RANCHILLOS
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;376;4477;MPP;POSADAS
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;STM;260;4460;MPP;SAN RAFAEL (PROV. MENDOZA)
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2273;4904;BASICA;TRES SARGENTOS
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2945;48;BASICA;TREVELIN
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2948;493;BASICA;BUTA RANQUIL
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2948;4966;BASICA;BUTA CO
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2658;42;BASICA;BUENA ESPERANZA
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2314;496;BASICA;BOLIVAR
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;376;4472;MPP;POSADAS
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2392;491;BASICA;BERUTTI
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;364;4441;MPP;PRESIDENCIA ROQUE SAENZ PEÑA
